Submission Date (Central Time),ucnValue,mouseFlowPlaybackUrl,audience,email_address,Overall Rating,Comments,Feedback Categories,Subcategory
8/2/2022,,,,,5,Was a simple and smooth process. No issues at all,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,2,"This website is such a mess. It would be great if it was modeled after any other e-commerce site, literally any. I’m constantly shocked at how old this web design is and how clunky it is. There isn’t enough time in the day to volunteer to tell you every way this site is bad, clunky, buggy, ugly, and altogether non-functional - please just start over from the ground up.     I will add just this one thing- most surveys are clever enough to prompt after your purchase is complete or will open in another tab- this one navigated me away from the site and what I was looking at to purchase. Like- that seems like some pretty basic stuff, right? Do you want this mostly unhelpful feedback, or my business?",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,"This website is such a mess. It would be great if it was modeled after any other e-commerce site, literally any. I’m constantly shocked at how old this web design is and how clunky it is. There isn’t enough time in the day to volunteer to tell you every way this site is bad, clunky, buggy, ugly, and altogether non-functional - please just start over from the ground up.     I will add just this one thing- most surveys are clever enough to prompt after your purchase is complete or will open in another tab- this one navigated me away from the site and what I was looking at to purchase. Like- that seems like some pretty basic stuff, right? Do you want this mostly unhelpful feedback, or my business?",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Easy to navigate,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,It was really simple.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,Kinda tricky to navigate,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,1,This survey came and seemed to interrupt paying. Not sure if it will work.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"Easy to use site, would like to have free shipping though",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"Trying to edit the parent letter to send to parents to explain what scholastic was for, but I couldn't find the letter to edit.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I am so excited to see YA books on the website finally!!!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,I would like an option for all books and titles to be displayed on one page to make it easier to pick recommendations.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Just started and you’ve sent me the survey.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"It is very hard to browse content, find deals and the age appropriate books. Also, there are no descriptions, reviews or ratings for books, which is making it very hard to decide before making purchases.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"It is very hard to browse content, find deals and the age appropriate books. Also, there are no descriptions, reviews or ratings for books, which is making it very hard to decide before making purchases.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,Families who send money in instead of ordering online should be given info on shipment fees and taxes. You are putting a burden on teachers by not informing the families that taxes and shipping are not included when they bring money to school for the teacher to purchase the books.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,There should be a big button on scholastic.com to take you to the proper site to order for a classroom.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Love the prices and quality with Scholastic!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Love Scholastic!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,Couldn’t find my child’s teacher.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Thank you for fixing the balance issues from last year.  I did not submit any new orders because of the that issue and would not be ordering this year if it continued to be a problem.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,Easy sign in.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,Web site does not work well with iPad,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,Finding where to connect with my child’s teacher was impossible. Had to try 3 time!,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Very easy and efficient!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,Teachers code is not showing yet.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,No problems,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,Easily understood and explained!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,It seems to be easier this year to submit bonus teacher picks. Too many steps before.  Teachers should not have to pay shipping for orders under $25. You are making enough money to cover this.  Media mail is much less expensive.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"I cant have an opinion on satisfaction because  I am just exploring the site, I hope it continues like know.  Very easy to follow steps, we really don't have a lot of time to plan or the classes.   I do have a situation and is in the zip code and address, My school was not listed in the list and automatically game another address.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"I'm sure you can add a bigger variety of books.   We do not like princess or creepy books and we enjoy ""I survive ""books for example, just saying.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Love This Website,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,"I started my order on Wednesday but realized I didn't have the classroom teacher code so I left the site and came back the day after with code on hand.  For Thursday (just 1 day after the day before), there were 2 different items that had been available and in my cart the day previous (single books- Heartstopper, Vol 3 and a Molly Melon Book) but when I went to search for them again to add to my cart- there was no item found.  I did find them in a series bundle purchase.  But I didn't want to buy the bundle because I already had many items within that bundle.  So I was a bit frustrated that I couldn't buy the single book when the day before, the single book was available and in my cart ready for purchase.  It felt like a ""marketing scam"" to me and we've had such positive experience with Scholastic previous and never had this issue.  So I thought I'd share that.  All other items were available and check out and the process were simple and great!",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Flow could be designed better... actually getting to the teacher was different from what the instructions provided by the teacher were.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I really thought there was some great books offered in the flyers,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Unsure to list all email contacts because I'm not sure all families want to give out their personal emails.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Didn't realize book club was a different site,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"Technically haven't ordered yet, but working on that right now.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Ive been buying books ince my kids were in school. Now getting them fot great grandchildren.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,The book selection was hard to access.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Needed to update my e-mail address,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Super east to navigate!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,Will flyers be sent for me to send home with my students?  Just unsure if that's still done.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Love this service!  Thank you!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,2,"I am trying to submit my order, but the log in page is coming up blank. Also, I received an email that I would receive 500 bonus points on my birthday which was 8/16, and I haven't yet. I chatted with someone and they told me to keep my eye out for an email and I haven't received that yet.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Straightforward ordering process.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,Many of the books I'm looking to buy aren't available through Scholastics. I was hoping to give credit to a local school with book purchases.  The site didn't make it easy to enter the school's code. I had to find a new link from the school.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Many of the books I'm looking to buy aren't available through Scholastics. I was hoping to give credit to a local school with book purchases.  The site didn't make it easy to enter the school's code. I had to find a new link from the school.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,I have using the Scholastic Book Club for over 20 plus years. My frustration these past years has been: I do not get the catalogs in enough time to place my orders. Sometimes they don’t come at all and I have to call to have them sent. The reason parents aren’t ordering books is because they get the flier past the holiday they should order from. The books are late coming to parents so they don’t want to order. Please help me make this successful to use.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,This survey interrupted my order,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,I wish that it was easier to make a purchase as a parent and not just a teacher,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"It was confusing at first and I didn’t realize I needed to sign in under book clubs to access my son’s classroom order. I was shopping under the parent section and then when I realized I should be under book clubs, I created a whole new order.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Had to take  This survey wouldn’t let me complete the order,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Couldn't locate where to combine checks and credit card orders.  Called and spoke with service representative and completed my order.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Trying to buy books from my friends kids,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I would like to see more $1.00 books.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Love the books that scholastic provides even when I was a kid,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,"The site was not very easy to navigate on a cell phone. A pop up asking me for my feedback kept blocking my view, and what could have taken 2 mins took a good 6-8 minutes to place an order.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Site is not compatible with Safari browser and always have to change to chrome,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,ok,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,"Just waiting to hear back from my son's teacher before placing my order. The site was easy to use. One thing I noticed is the book descriptions do not state if the book is in both English and Spanish. I was looking for books that had both and had to do a little digging to find some, more and inconvenience then difficult.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,coupon cope provided did not work,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I love Scholastic!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,"I clicked a link to look for child's teacher, but the form didn't work. I eventually found it through another link, but it took some time and frustration.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"I am still upset about a mistake for an order.  The address of delivery was supposed to be changed to be delivered to the school, but the representative only changed the billing address so I was not able to get a reimbursement from my school as it was sent to my address and not the school.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,I would like to purchase books and have them sent to my home address.  I have tried c connecting to my son's school teacher but she is uninterested in participating in the Scholastic Book Club.  Is there any way for me to purchase books and have them sent to my home.  I previously did this during summer.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Nice site,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,Wish we could see more of the potential book to buy.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,You should make it easier to apply the $10 teacher coupon.  It should automatically be applied to order or a code should be on it so that it can be applied.  I have not be able to add it on one of my orders.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"Each year it takes me a little time to get back into how to use the site to set up my classroom orders etc,, but then it is easy and works well.",Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Easy to navigate and edit wishlists.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,Would love personal home delivery back. I would pay shipping to have that as an option. It makes it easier as I buy a lot of items which is hard to children to have to transport home.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I will purchase just need to verify which books my child wants.  Came today to connect child to new teacher.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Very easy set up for homeschool account creation,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,Love the selection.  Love all the different ways to find the right book for my child.  Love the free book promo and that I can leave a donation.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Love Scholastic!  Great prices on good books.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,It was easy,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,It would be easier to see all the books. It’s just not easy to navigate the sight.  Suggested books popped up that I wanted to go back to but could not find them again.  I did like having the option of ordering online but navigation and layout needs improvement.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Love the search options... Helps find books to fit each child,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,"I am sending out a welcome to Scholastic letter to families and when I went to print the letter from the website the footer isn't printing.  I've tried multiple ways to get it to print, but it won't.  I really like the header of ""Our class loves to read"" and the footer ""Scholastic Reading Club."" It makes it feel more official and helps it to stand out.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,I tried to print a letter as a cover sheet for my book orders (it's the first time we're ordering this year) and the website told me it was a bad request.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Adding the free book got glitchy with scrolling (on an iphone). I do like that when you search for a book to add you can tap it and get a small preview. I also think the previews of books are detailed which is nice.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Easy to navigate - thank you!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,"I had a little difficulty connecting to my granddaughter's new teacher, but I finally figured it out with help from FAQ.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"I really believe that you should allow retired teachers to maintain their account.  I buy books for my Little Free Library,  because I want kids to have NEW books.  The hassle of finding a teacher to order under seems wrong after the thousands of dollars of books that were ordered by me over 39 years of teaching Kindergarten.    What would be the harm in letting me maintain my account?",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,it will not let me set up an ewallet for my child,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Have not received fall book order forms for families yet.  Would like to get those.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Navigating by reading level and interest was a bit tricky,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I hope all delivery problems have been resolved. I know you had a rough year last year. May 22/23 year be better for all of us!,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,The page signs out quicky. The selection is limited,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,The page signs out quicky. The selection is limited,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Once code is entered where do you go,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Trying to find books in Spanish and having a hard time,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"For payment, the site was not accepting my pin for a new card.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,I couldn't finish browsing because this popped up therfore taking time that I could be looking for books.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Was fast and easy to set up,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,"Seriously appreciate the pricing on books! Great selections, so excited!",Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,Navigation seems to be a bit tricky/ confusing....,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,All went smoothly,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,I had to try a few times to get the free READS books by item number,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Very easy to use,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Easy to do,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,I got the flyer in my classroom today and just thought I would browse the website for a minute,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,1,"For some reason my account is showing another teacher's name and I have no idea why. We have never gone onto scholastic on each other's computers, so it does not make any sense.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"Loves Scholastic  and love that they provide great customer service. My only two suggestions would be to carry more books… Often times I will type in titles of popular books that I use for a mentor texts in my elementary classroom, but Scholastic doesn’t carry them. Also, I would like to see all of the bonus point items also labeled with monetary value… So I could buy them if needed",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"SO HAPPY you’re now recognizing HOMESCHOOL families for classroom points, perks, discounts, group orders, etc!!  HOORAY!!  We run a co-op for about 50 kids and have wanted to include Scholastic in our classrooms for ages!!  Thank you thank you!!",Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,It was super easy to set up our account & navigate the website.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,I notice prices have increased.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,"I had to sign up multiple times and the log in isn't taking the one I keep signing up as, so I haven't been able to place my order yet.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,So easy,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Great experience purchasing books for my child.  I loved the fact that there were books in Spanish and English.   We selected books in both languages.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,2,The promo code READS is saying it’s expired.  It is advertised on the book club at the top to get a free book with that promo code but it doesn’t apply.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I didn’t have a chance to browse before this survey popped up.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,It was hard to go back after looking at details of a book. Had to search again.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,I always have trouble on this site. Not sure why??,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,Kept sending me back asking for my info and the teacher. I put this in more than 3 times,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Love it,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,"I had just arrived to the website and was asked to take survey, so I haven't gotten a chance to take a look around or make any purchases yet.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"The site is confusing! I logged on and my cart was empty, and I had to search and click through things to try and find the books I had, and where they were in my cart. (Confusing sounding right?!) I love the books and order often, but the site is very confusing! I also love how you discount different popular books monthly.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,This was my first order and it was confusing finding how to add my child's teacher code.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"I LOVED the Scholastic Book Club as a kid, and I'm OVER THE MOON that I now get to share this with my son!!!  Book Fair day was THE BEST DAY when I was in school!  You guys do great things!  Keep it up!!!",Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,It would be nice to shop by the AR levels,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I will cont to use scholasic,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,Navigating from smart phone was frustrating,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,Once you asked about this survey your site crashed and took me directly to here,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"I’m looking for chapter books or novels with content that is appropriate for a 6yr old. When I search your site, I can only search based on her age (6) or grade (1), but not her AR level (or equivalent).",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I love that I can buy books for 2 different children/classrooms in one purchase.  It made it very easy.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,"I was not able to complete my order on mobile using PayPal. I had to go to my desktop to complete the transaction. Otherwise, the site was very easy to use.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Can you please sell some Christian Author books too?  Wendy Mattox is a great children's author for Christian Books.  Look her up.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I registered and set up information for my class to order books,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,No issues,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,I won't pay shipping for a $2 book.  I think you should combine orders from our school so that shipping would be free. I'll return the money to the one student that ordered and tell her  why.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"The cart was hard to find. When I was ready to check out, I had to put a book in the cart to get to the cart. I couldn’t find the icon for the cart until I did that.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"The site gets you in with a free book gig, then it don’t give you which books are free.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,It would be nice to add to order or edit the order until the order goes to the teacher or at least for a period of time after submitted.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,I want to start ordering again but I'm worried there will be shipping delays like the last two years.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,I am trying to log in as a teacher and I am not able to find my site. I keep getting dumped into the parent site. I am nothing but frustrated with this.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"Survey came up before checkout so I haven’t ordered yet, and when trying to buy a book for the class, it asked me to sign in 3 times…",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"nothing to do with the site. It would be helpful if you offered a stamp that can be used to put the class codes on the fliers that fits in your boxes.. I do the fliers for the whole school, 150 kids.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Super easy to navigate,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,Wasn’t done browsing when survey pop up!,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I helped Michele Trevizo set up a class but she never received her class number.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"I would love to share a link to my child's wish list for birthdays, rewards, and holiday gifts from our loved ones. Please find a way to enable that feature! We have just asked relatives to give Scholastic gift cards instead.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Very awesome very helpful,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Website is very user friendly!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,need to change my granddaughters teacher and can't figure it out,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Adding a child,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,The promo code option is not mobile friendly for check out.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Very easy,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,1,I couldn't check out without assigning a teacher to the child and the child is being homeschooled.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Make it smart phone friendly. It seems it is made for desktop,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"Easy to use website, and made searching for books fun for parents and kids!",Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,I'm still browsing so I haven't ordered. That's the only reason.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,Ryder is now in 3rd grade and Mrs lion is his teacher,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"Makes it tough for returning grandparent supporters to know how to connect account to this year's teacher.   Also the site is not user friendly in that.i have to keep backspacing to get where I want to go. Also perhaps if you put a colon between ""contact:teacher"" it.would be understood by parent that books get sent to School.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,This survey popped up as soon as I got to the site. Asked if I would complete a survey AFTER I ordered. I clicked yes and the survey popped up.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,This went very smoothly,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Easy to change password,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,Had trouble finding the location to order book club forms to get them sent to your school.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,"It would be helpful to have a button to request magazines on the profile site.    Also, I recommended a new teacher but wasn't able to apply my bonus.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,The webpage wouldn’t scroll down far enough to press the button and then this survey interrupted my order.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,Entered profile info incorrect and unable to change,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"I haven't used your site in over a year, glad to be back!",Thanks/Praise,Thanks/Praise
8/2/2022,,,,,3,Site not easy to navigate,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,I have never received our book order from last March or April and now nothing shows up under my orders.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,I would have liked to narrow classic books by age.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Great website,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Enjoyable experience and glad to get to order books for our grandkids!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Can a parent join a book club?  What are the prices?,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,1,Trying to switch account to teacher account for myself,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Easy to use.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,Thank you,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,looking for my class code,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,I noticed that books prices have increased by $2-$3/book.  That will mean that i will be purchasing less books for my son this school year.  Do  you expect the increases to remain all year?,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"I'd like better search options. My children read at a higher level than what is given for their grades, and my son in particular likes nonfiction in niche topics. I don't have an easy way to keyword search for topics.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,I couldn't find where to connect my account to the teacher.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,1,i dt like hel kell,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,I typed in students name and the add button did not turn blue.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,4,When i tried to use the 5$ free book code I was able to select one but wasn’t able to do anything past that the whole  Website froze on multiple occasions,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Easy,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,"I didn't order any books last year.  That was a first for me.  I have been ordering books from Scholastic for over 25 years, best guess.",Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,I love the ability to browse digitally.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,I talked to a superhelpful person on the phone because I lost my Free Points number for updating my class numbers last year. She spent a lot of time going through and finding that code for me. She also helped me realize I wasn't getting my Birthday points because I didn't have my birthday in my profile.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,"I donated $6 to the book trust when I only wanted to donate $1. Nothing pops up when you click the ""Donate"" key to tell you it's done so I kept clicking it then realized at checkout I had donated more than I wanted but could not figure out how to delete it.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,The site looks new and updated this year. It just took me a few extra minutes and tries to see where I was and how to get to the book club page. It will be fine once I get used to it!,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,5,I hope shipping is quick this year.  Last year at this time it took months! :),Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,"It is hard to navigate and find books quickly. Scholastic has made it extremely difficult to order ""$1"" books. I am sure Scholastic is aware of how many teachers get donations from friends, family, and even out of their own pocket to get books in the hands of our students and the company is making it so hard to do that. Raising prices, only allowing access to the $1 books after reaching a high order total first. One of my very large orders mysteriously got ""stuck"" and then I had to wait even longer to receive the order. This website and company is not as easy to order from as it once was.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,2,"It is hard to navigate and find books quickly. Scholastic has made it extremely difficult to order ""$1"" books. I am sure Scholastic is aware of how many teachers get donations from friends, family, and even out of their own pocket to get books in the hands of our students and the company is making it so hard to do that. Raising prices, only allowing access to the $1 books after reaching a high order total first. One of my very large orders mysteriously got ""stuck"" and then I had to wait even longer to receive the order. This website and company is not as easy to order from as it once was.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,Everything was very easy to navigate on the site.,Thanks/Praise,Thanks/Praise
8/2/2022,,,,,4,"I used the chat feature and the rep answered my questions however she didn't even ask if I needed anything else..just gave me the address and ""hung up"".",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,I only spent $11 today. I would have ordered $25+ if I could get free shipping and have the order count for my son's classroom. Disappointed that this is no longer an option.,Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,5,"It was very easy to update my child's classroom code for the beginning of this school year, thank you.",Thanks/Praise,Thanks/Praise
8/2/2022,,,,,1,"This website is so difficult to use as a teacher. Finding our ""teacher's desk"" and other class status is impossible, even while using the live chat.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"Not super user friendly. I can’t find my class code. Or simple, printable directions for parents.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,"Not super user friendly. I can’t find my class code. Or simple, printable directions for parents.",Not Thanks/Praise,Not Thanks/Praise
8/2/2022,,,,,3,I would love to see more diverse books.,Not Thanks/Praise,Not Thanks/Praise
